encoded_feature,coefficient,absolute_coefficient,odds_ratio_per_unit
categorical__ca_0.0,-1.498640777321029,1.498640777321029,0.22343364993083908
categorical__cp_4.0,1.0305606138558436,1.0305606138558436,2.8026365912699513
categorical__thal_7.0,0.8184907134213868,0.8184907134213868,2.2670755873383257
categorical__sex_0.0,-0.7008358908897292,0.7008358908897292,0.4961703860971162
categorical__sex_1.0,0.6903530973764118,0.6903530973764118,1.9944196332678021
categorical__ca_2.0,0.6421710867063103,0.6421710867063103,1.9006027766099167
categorical__cp_1.0,-0.6191759931524486,0.6191759931524486,0.538387890173744
categorical__slope_2.0,0.6034274153709911,0.6034274153709911,1.8283746729876198
categorical__cp_3.0,-0.5747658356901338,0.5747658356901338,0.5628366496327991
categorical__thal_3.0,-0.5402428950844369,0.5402428950844369,0.5826067228771292
categorical__ca_3.0,0.4942326513254946,0.4942326513254946,1.639239887766618
categorical__slope_1.0,-0.44063939944452585,0.44063939944452585,0.6436247561764279
numeric__thalach,-0.37247387120628916,0.37247387120628916,0.6890276547841314
categorical__ca_1.0,0.3517542457759075,0.3517542457759075,1.4215591266272645
numeric__trestbps,0.34055918357603293,0.34055918357603293,1.405733433876284
categorical__thal_6.0,-0.2887306118502663,0.2887306118502663,0.7492140075951499
categorical__exang_0.0,-0.27011479216515505,0.27011479216515505,0.7632918693812887
categorical__exang_1.0,0.25963199865183856,0.25963199865183856,1.2964529024530096
numeric__oldpeak,0.2595253984583598,0.2595253984583598,1.2963147076886972
categorical__restecg_2.0,0.21302229509255005,0.21302229509255005,1.2374122391564566
numeric__chol,0.1789198864073768,0.1789198864073768,1.1959249304872568
categorical__slope_3.0,-0.17327080943978207,0.17327080943978207,0.8409098576791546
categorical__restecg_0.0,-0.15577500264448654,0.15577500264448654,0.8557517105837944
categorical__cp_2.0,0.15289842147342253,0.15289842147342253,1.1652066129602159
categorical__fbs_1.0,-0.10334222660533074,0.10334222660533074,0.9018182944519055
categorical__fbs_0.0,0.09285943309201418,0.09285943309201418,1.0973074793072184
categorical__restecg_1.0,-0.06773008596138015,0.06773008596138015,0.9345126776299357
numeric__age,-0.06093617935388229,0.06093617935388229,0.9408832856391173
